爱不爱	aba
饥寒交迫	jhjp
饥寒交切	jhjq
举笏击蛇	jhjs
聚会精神	jhjs
娟好静秀	jhjx
尽欢竭忠	jhjz
饥寒交至	jhjz
近海狂鱼	jhky
积厚流光	jhlg
积厚流广	jhlg
槛花笼鹤	jhlh
襟怀磊落	jhll
惊魂落魄	jhlp
计合谋从	jhmc
江湖满地	jhmd
久怀慕蔺	jhml
金壶墨汁	jhmz
踞虎盘龙	jhpl
饥虎扑食	jhps
江湖骗子	jhpz
架海擎天	jhqt
荆衡杞梓	jhqz
江河日下	jhrx
江湖日下	jhrx
惊慌失措	jhsc
饥火烧肠	jhsc
襟怀洒落	jhsl
酒虎诗龙	jhsl
惊魂丧魄	jhsp
惊魂失魄	jhsp
惊魂摄魄	jhsp
禁火三日	jhsr
惊慌失色	jhss
酒后失言	jhsy
镜花水月	jhsy
计获事足	jhsz
襟怀坦白	jhtb
江海同归	jhtg
救火投薪	jhtx
襟怀坦夷	jhty
惊惶无措	jhwc
眷红偎翠	jhwc
惊魂未定	jhwd
酒后无德	jhwd
嗟悔无何	jhwh
嗟悔无及	jhwj
坚瓠无窍	jhwq
捐华务实	jhws
晋惠闻蛙	jhww
惊惶万状	jhwz
橘化为枳	jhwz
橘淮为枳	jhwz
旧恨新仇	jhxc
旧欢新宠	jhxc
锦花绣草	jhxc
江河行地	jhxd
借花献佛	jhxf
寄花献佛	jhxf
截鹤续凫	jhxf
积毁销骨	jhxg
积毁销金	jhxj
近火先焦	jhxj
街号巷哭	jhxk
驾鹤西游	jhxy
救火扬沸	jhyf
金辉玉洁	jhyj
九合一匡	jhyk
惊鸿游龙	jhyl
拒虎引狼	jhyl
江湖义气	jhyq
嫁祸于人	jhyr
劫后余生	jhys
惊鸿艳影	jhyy
金徽玉轸	jhyz
精衡战斧	jhzf
麇骇雉伏	jhzf
忌讳之禁	jhzj
架谎凿空	jhzk
教皇毡帽	jhzm
救火拯溺	jhzn
济寒赈贫	jhzp
江海之士	jhzs
饥火中烧	jhzs
假虎之威	jhzw
假虎张威	jhzw
君火之位	jhzw
救火追亡	jhzw
江海之学	jhzx
江汉之珠	jhzz
纠合之众	jhzz
纠合之卒	jhzz
家常便饭	jibf
绝处逢生	jifu
家长里短	jild
饥肠辘辘	jill
精诚所至	jisv
精诚团结	jitj
既成事实	jiuu
计将安出	jjac
将近彼岸	jjba
惊悸不安	jjba
跼蹐不安	jjba
济济彬彬	jjbb
结结巴巴	jjbb
借交报仇	jjbc
解剑拜仇	jjbc
卷甲倍道	jjbd
借机报复	jjbf
久假不归	jjbg
九江八河	jjbh
九经百家	jjbj
精金板甲	jjbj
井井不乱	jjbl
甲坚兵利	jjbl
精金百炼	jjbl
诘究本末	jjbm
矫矫不群	jjbq
积久弊生	jjbs
交颈并头	jjbt
节节败退	jjbt
久久不忘	jjbw
眷眷不忘	jjbw
精进不休	jjbx
经久不息	jjbx
涓涓不壅	jjby
继继存存	jjcc
继继承承	jjcc
九间朝殿	jjcd
积简充栋	jjcd
洁己从公	jjcg
禁奸除猾	jjch
急景残年	jjcn
击节称赏	jjcs
加急传送	jjcs
解巾从仕	jjcs
击节称叹	jjct
继绝存亡	jjcw
据徼乘邪	jjcx
捐金沉珠	jjcz
捐金抵璧	jjdb
九间大殿	jjdd
娇娇滴滴	jjdd
角巾东第	jjdd
解甲倒戈	jjdg
久假当还	jjdh
巨奸大猾	jjdh
襟江带湖	jjdh
竭精殚力	jjdl
角巾东路	jjdl
金鸡独立	jjdl
戛戛独难	jjdn
济济多士	jjds
踽踽独行	jjdx
戛戛独造	jjdz
謇謇谔谔	jjee
绝裾而去	jjeq
见机而行	jjex
踽踽而行	jjex
见机而作	jjez
鸠集凤池	jjfc
麇集蜂萃	jjfc
洁己奉公	jjfg
炯炯发光	jjfg
蹇蹇匪躬	jjfg
剑及覆及	jjfj
继绝扶倾	jjfq
瘠己肥人	jjfr
久经风霜	jjfs
夹击分势	jjfs
救急扶伤	jjfs
金鸡放赦	jjfs
拒绝服务	jjfw
井臼躬操	jjgc
见解高超	jjgc
兢兢干干	jjgg
急近功利	jjgl
警戒岗哨	jjgs
解甲归田	jjgt
借镜观形	jjgx
节俭躬行	jjgx
鲸胶弓弦	jjgx
九九归一	jjgy
九九归原	jjgy
汲汲顾影	jjgy
降级恢复	jjhf
眷眷怀顾	jjhg
家家户户	jjhh
汲汲皇皇	jjhh
浆酒藿肉	jjhr
浆酒霍肉	jjhr
家见户说	jjhs
聚精会神	jjhs
惊见骇闻	jjhw
加减乘除	jjii
倔强倨傲	jjja
捷径窘步	jjjb
借酒浇愁	jjjc
尽节竭诚	jjjc
拣精拣肥	jjjf
剑及屦及	jjjj
将计就计	jjjj
屦及剑及	jjjj
斤斤计较	jjjj
驾肩接迹	jjjj
斤斤较量	jjjl
己饥己溺	jjjn
掘井及泉	jjjq
鲸胶绞丝	jjjs
驾肩接武	jjjw
戒骄戒躁	jjjz
架肩接踵	jjjz
犄角戒指	jjjz
饥馑荐臻	jjjz
亟疾苛察	jjkc
岌岌可危	jjkw
九京可作	jjkz
坚甲利兵	jjlb
坚甲厉兵	jjlb
津津乐道	jjld
简截了当	jjld
简捷了当	jjld
俊杰廉悍	jjlh
剑及履及	jjlj
金精灵剑	jjlj
酒浇垒块	jjlk
踽踽凉凉	jjll
急景流年	jjln
计尽力穷	jjlq
坚甲利刃	jjlr
焦金流石	jjls
节俭力行	jjlx
积金累玉	jjly
精金良玉	jjly
净几明窗	jjmc
经纪买卖	jjmm
襟裾马牛	jjmn
精金美玉	jjmy
家给民足	jjmz
纠结木杖	jjmz
及笄年华	jjnh
绞尽脑汁	jjnz
将军平台	jjpt
截胫剖心	jjpx
金尽裘弊	jjqb
金尽裘敝	jjqb
井臼亲操	jjqc
鸠僭鹊巢	jjqc
鸠居鹊巢	jjqc
劲节清风	jjqf
矫激奇诡	jjqg
居敬穷理	jjql
积金千两	jjql
竭尽全力	jjql
戛戛其难	jjqn
兢兢乾乾	jjqq
尖尖趫趫	jjqq
济济跄跄	jjqq
兼葭秋水	jjqs
厥角稽首	jjqs
家骥人璧	jjrb
精甲锐兵	jjrb
拘拘儒儒	jjrr
挤挤攘攘	jjrr
胶胶扰扰	jjrr
积甲如山	jjrs
久居人下	jjrx
佳节如意	jjry
家给人足	jjrz
矜己任智	jjrz
卷甲束兵	jjsb
积基树本	jjsb
解甲释兵	jjsb
鉴机识变	jjsb
尽节死敌	jjsd
拘禁束带	jjsd
角巾私第	jjsd
静极思动	jjsd
拒谏饰非	jjsf
讲经说法	jjsf
竞今疏古	jjsg
警戒哨岗	jjsg
九棘三槐	jjsh
嫁鸡随鸡	jjsj
见经识经	jjsj
寄迹山林	jjsl
矜纠收缭	jjsl
金甲山猫	jjsm
借景生情	jjsq
即景生情	jjsq
积甲山齐	jjsq
见景生情	jjsq
借剑杀人	jjsr
九经三史	jjss
剑戟森森	jjss
即即世世	jjss
焦金烁石	jjss
继继绳绳	jjss
卷甲韬戈	jjtg
解甲投戈	jjtg
击节叹赏	jjts
居间调停	jjtt
九九同心	jjtx
兼济天下	jjtx
句句属实	jjuu
跼蹐无地	jjwd
赳赳武夫	jjwf
寂寂无名	jjwm
寂寂无人	jjwr
寂寂无声	jjws
结界卫士	jjws
寂寂无闻	jjww
揭揭巍巍	jjww
见见闻闻	jjww
积健为雄	jjwx
孑孑为义	jjwy
解甲休兵	jjxb
接见洗尘	jjxc
赳赳雄断	jjxd
降跽谢过	jjxg
旧家行径	jjxj
竭尽心力	jjxl
卷甲衔枚	jjxm
见机行事	jjxs
解甲休士	jjxs
继绝兴亡	jjxw
煎胶续弦	jjxx
金鸡消息	jjxx
井井有方	jjyf
井井有法	jjyf
屦贱踊贵	jjyg
近交远攻	jjyg
咀嚼英华	jjyh
敬姜犹绩	jjyj
金齑玉鲙	jjyk
井井有理	jjyl
金浆玉醴	jjyl
精进勇猛	jjym
见骥一毛	jjym
戒急用忍	jjyr
蒹葭伊人	jjyr
炯炯有神	jjys
蒹葭玉树	jjys
金枷玉锁	jjys
井井有条	jjyt
济济一堂	jjyt
井井有味	jjyw
家鸡野鹜	jjyw
津津有味	jjyw
井井有序	jjyx
降级运行	jjyx
兢兢业业	jjyy
兢兢翼翼	jjyy
矜矜业业	jjyy
蒹葭倚玉	jjyy
金浆玉液	jjyy
金精玉液	jjyy
家鸡野雉	jjyz
救经引足	jjyz
京解之才	jjzc
经济之才	jjzc
积金至斗	jjzd
絜矩之道	jjzd
拣精择肥	jjzf
禁忌之海	jjzh
嫁鸡逐鸡	jjzj
精金战甲	jjzj
击楫中流	jjzl
精简指令	jjzl
将军之帽	jjzm
救饥拯溺	jjzn
狷介之人	jjzr
击节赞赏	jjzs
拘介之士	jjzs
掎角之势	jjzs
斤斤自守	jjzs
济济之士	jjzs
狷介之士	jjzs
矜己自饰	jjzs
蒹葭之思	jjzs
眷眷之心	jjzx
举酒作乐	jjzy
咎皆自贻	jjzy
掎角之援	jjzy
兢兢战战	jjzz
寄豭之猪	jjzz
汲汲孜孜	jjzz
计较锱铢	jjzz
借客报仇	jkbc
叫苦不迭	jkbd
绝口不道	jkbd
绝口不谈	jkbt
缄口不言	jkby
缄口藏舌	jkcs
交口称叹	jkct
交口称誉	jkcy
艰苦创业	jkcy
交口称赞	jkcz
见可而进	jkej
极口分辩	jkfb
艰苦奋斗	jkfd
济困扶贫	jkfp
救困扶危	jkfw
济困扶危	jkfw
挢抂过正	jkgz
噤苦寒蝉	jkhc
鉴空衡平	jkhp
借寇赍盗	jkjd
饥渴交攻	jkjg
警愦觉聋	jkjl
救苦救难	jkjn
饥渴交迫	jkjp
撅坑撅堑	jkjq
噤口卷舌	jkjs
缄口结舌	jkjs
交口荐誉	jkjy
济苦怜贫	jklp
叫苦连声	jkls
叫苦连天	jklt
几可乱真	jklv
金口木舌	jkms
救苦弭灾	jkmz
鸡口牛后	jknh
艰苦朴素	jkps
缄口如瓶	jkrp
久客思归	jksg
惊恐失色	jkss
忌克少威	jksw
艰苦涩滞	jksz
进可替不	jktb
进可替否	jktf
交口同声	jkts
金块头饰	jkts
艰苦卓绝	jkvj
镌空妄实	jkws
缄口无言	jkwy
惊恐万状	jkwz
见哭兴悲	jkxb
俭可养廉	jkyl
金科玉律	jkyl
金科玉臬	jkyn
金科玉条	jkyt
金口玉牙	jkyy
金口玉言	jkyy
金口玉音	jkyy
坚苦卓绝	jkzj
艰苦卓绝	jkzj
俭可助廉	jkzl
交口赞颂	jkzs
交口赞誉	jkzy
接连不断	jlbd
孑轮不反	jlbf
九流百家	jlbj
精力不倦	jlbj
九流宾客	jlbk
剑浪壁垒	jlbl
拘挛补衲	jlbn
近邻比亲	jlbq
精力不衰	jlbs
酒阑宾散	jlbs
兼览博照	jlbz
急敛暴征	jlbz
救乱除暴	jlcb
禁乱除暴	jlcb
积劳成病	jlcb
积劳成瘁	jlcc
娇鸾雏凤	jlcf
饥来吃饭	jlcf
久炼成钢	jlcg
橘绿橙黄	jlch
进利除害	jlch
镜里采花	jlch
江郎才尽	jlcj
积劳成疾	jlcj
简练揣摩	jlcm
精力充沛	jlcp
峻岭崇山	jlcs
敬老慈少	jlcs
鞠旅陈师	jlcs
军临城下	jlcx
敬老慈幼	jlcy
江郎才掩	jlcy
敬老慈穉	jlcz
酒绿灯红	jldh
敬老得老	jldl
践律蹈礼	jldl
蛟龙得水	jlds
僵李代桃	jldt
将李代桃	jldt
酒阑灯炧	jldx
蛟龙得雨	jldy
镜里恩情	jleq
尽力而为	jlew
久历风尘	jlfc
举例发凡	jlff
绝路逢生	jlfs
肌理丰盈	jlfy
贱敛贵出	jlgc
贱敛贵发	jlgf
镜里观花	jlgh
精力过人	jlgr
鸡零狗碎	jlgs
今来古往	jlgw
建瓴高屋	jlgw
菊老荷枯	jlhk
急吏缓民	jlhm
交梨火枣	jlhz
角立杰出	jljc
进禄加官	jljg
拒狼进虎	jljh
积里渐里	jljl
解铃系铃	jljl
竭力尽能	jljn
将来佳器	jljq
浃沦肌髓	jljs
经纶济世	jljs
交詈聚唾	jljt
竭力尽意	jljy
季伦锦障	jljz
竭力尽忠	jljz
驹留空谷	jlkg
酒阑客散	jlks
绝类离伦	jlll
敬老怜贫	jllp
积理练识	jlls
据理力争	jllz
经纶满腹	jlmf
紧锣密鼓	jlmg
噍类靡余	jlmy
计劳纳封	jlnf
家累千金	jlqj
见卵求鸡	jlqj
畸流洽客	jlqk
酒醴麴蘖	jlqn
竭力虔心	jlqx
戢鳞潜翼	jlqy
见利弃义	jlqy
金兰契友	jlqy
剪虏若草	jlrc
军令如山	jlrs
酒阑人散	jlrs
九流人物	jlrw
江流日下	jlrx
肩劳任怨	jlry
久立伤骨	jlsg
酒龙诗虎	jlsh
九流三教	jlsj
九流十家	jlsj
极乐世界	jlsj
奸掳烧杀	jlss
蛟龙失水	jlss
居利思义	jlsy
见利思义	jlsy
九烈三贞	jlsz
尽力投递	jltd
金锣腾空	jltk
进旅退旅	jltl
踞炉炭上	jlts
积露为波	jlwb
价廉物美	jlwm
角鳞王蛇	jlws
即鹿无虞	jlwy
噍类无遗	jlwy
戢鳞委翼	jlwy
聚敛无厌	jlwy
见利忘义	jlwy
疾雷迅电	jlxd
见龙卸甲	jlxj
酒阑兴尽	jlxj
距离向量	jlxl
肌理细腻	jlxn
敬老恤贫	jlxp
蛟龙戏水	jlxs
见猎心喜	jlxx
畸流逸客	jlyk
焦鳞幼龙	jlyl
绝伦逸群	jlyq
假力于人	jlyr
急流勇退	jlyt
圈牢养物	jlyw
羁旅异乡	jlyx
季路一言	jlyy
鹪鹩一枝	jlyz
疥癞之病	jlzb
酒阑烛跋	jlzb
羁旅之臣	jlzc
监临自盗	jlzd
劫掠之弓	jlzg
疥癞之患	jlzh
金兰之好	jlzh
拘挛之见	jlzj
疥癞之疾	jlzj
积劳致疾	jlzj
金兰之交	jlzj
攫戾执猛	jlzm
蕉鹿之梦	jlzm
金兰之契	jlzq
嗟来之食	jlzs
建瓴之势	jlzs
江流之胜	jlzs
劫掠之藤	jlzt
救燎助薪	jlzx
敬老尊贤	jlzx
角力中原	jlzy
金兰之友	jlzy
鹡鸰在原	jlzy
据理直争	jlzz
金马碧鸡	jmbj
焦孟不离	jmbl
掘墓鞭尸	jmbs
见貌辨色	jmbs
鉴貌辨色	jmbs
骏命不易	jmby
将门出将	jmcj
接袂成帷	jmcw
旧梦重温	jmcw
久梦初醒	jmcx
焦眉愁眼	jmcy
抉目东门	jmdm
矜名妒能	jmdn
借面吊丧	jmds
解民倒悬	jmdx
鸡鸣而起	jmeq
简明扼要	jmey
鸡鸣狗盗	jmgd
贱目贵耳	jmge
鸡鸣狗吠	jmgf
假冒攻击	jmgj
肩摩毂击	jmgj
肩摩毂接	jmgj
精明干练	jmgl
贱买贵卖	jmgm
静谧海岸	jmha
绝妙好辞	jmhc
鸡鸣候旦	jmhd
急脉缓灸	jmhj
急脉缓受	jmhs
静谧花园	jmhy
将门虎子	jmhz
浸明浸昌	jmjc
鸡鸣戒旦	jmjd
精妙绝伦	jmjl
精美绝伦	jmjl
矜名嫉能	jmjn
裾马襟牛	jmjn
举目皆是	jmjs
假门假事	jmjs
尽美尽善	jmjs
救民济世	jmjs
极目迥望	jmjw
假模假样	jmjy
焦眉苦脸	jmkl
精明老练	jmll
挤眉溜眼	jmly
金母木公	jmmg
肩摩袂接	jmmj
焦木魔杖	jmmz
精明能干	jmng
挤眉弄眼	jmny
嚼墨喷纸	jmpz
匠门弃材	jmqc
鸡鸣犬吠	jmqf
精明强干	jmqg
举目千里	jmql
机谋巧算	jmqs
鸡鸣起舞	jmqw
举目入画	jmrh
精妙入神	jmrs
诫莫如豫	jmry
假眉三道	jmsd
救民水火	jmsh
机敏射击	jmsj
积木世界	jmsj
脚忙手乱	jmsl
谨毛失貌	jmsm
鸡毛蒜皮	jmsp
纠缪绳违	jmsw
嘉谋善政	jmsz
矩描述子	jmsz
棘没铜驼	jmtt
假名托姓	jmtx
近墨者黑	jmvh
君命无二	jmwe
举目无告	jmwg
聚米为谷	jmwg
角木弯弓	jmwg
极目无际	jmwj
抉目吴门	jmwm
举目无亲	jmwq
聚米为山	jmws
静谧无声	jmws
寂寞无为	jmww
举目无依	jmwy
金门绣户	jmxh
抉目悬门	jmxm
抉目胥门	jmxm
经明行修	jmxx
经明行著	jmxz
鸡鸣馌耕	jmyg
剪莽拥彗	jmyh
将门有将	jmyj
坚明约束	jmys
极目远眺	jmyt
金马玉堂	jmyt
极目远望	jmyw
将明之材	jmzc
久梦乍回	jmzh
近墨者黑	jmzh
季孟之间	jmzj
焦眉之急	jmzj
肩摩踵接	jmzj
决命争首	jmzs
及门之士	jmzs
金迷纸碎	jmzs
焦眉皱眼	jmzy
监门之养	jmzy
金迷纸醉	jmzz
鸡鸣之助	jmzz
见溺不救	jnbj
简能而任	jner
酒囊饭包	jnfb
矜能负才	jnfc
酒囊饭袋	jnfd
旧念复萌	jnfm
瘠牛偾豚	jnft
桀逆放恣	jnfz
倦鸟归巢	jngc
江南海北	jnhb
及溺呼船	jnhc
锦囊还矢	jnhs
己溺己饥	jnjj
艰难竭蹶	jnjj
锦囊佳句	jnjj
救难解危	jnjw
锦囊佳制	jnjz
艰难困苦	jnkk
积年累岁	jnls
瘠牛羸豚	jnlt
积年累月	jnly
经年累月	jnly
解囊乐助	jnlz
锦囊妙句	jnmj
锦囊妙计	jnmj
解黏去缚	jnqf
机难轻失	jnqs
艰难曲折	jnqz
荆南杞梓	jnqz
节能施法	jnsf
酒浓诗冷	jnsl
教猱升木	jnsm
倦鸟知还	jnvh
艰难险阻	jnxz
解囊相助	jnxz
金奴银婢	jnyb
艰难玉成	jnyc
九牛一毫	jnyh
急怒欲狂	jnyk
九牛一毛	jnym
交能易作	jnyz
锦囊玉轴	jnyz
九年之储	jnzc
兼年之储	jnzc
酒能壮胆	jnzd
倦鸟知返	jnzf
倦鸟知还	jnzh
九年之蓄	jnzx
京辇之下	jnzx
佳偶天成	jotc
金瓯无缺	jowq
举偏补弊	jpbb
救偏补弊	jpbb
济贫拔苦	jpbk
镜破钗分	jpcf
僵仆烦愦	jpfk
急拍繁弦	jpfx
局骗拐带	jpgd
鸡皮鹤发	jphf
极品家丁	jpjd
矜贫救厄	jpje
尽盘将军	jpjj
饥疲沮丧	jpjs
筋疲力弊	jplb
筋疲力倦	jplj
筋疲力尽	jplj
筋疲力竭	jplj
精疲力倦	jplj
精疲力尽	jplj
精疲力竭	jplj
肌劈理解	jplj
金瓶落井	jplj
君平卖卜	jpmb
击排冒没	jpmm
鲸皮帽檐	jpmy
娇皮嫩肉	jpnr
锦片前程	jpqc
家贫亲老	jpql
金铺屈曲	jpqq
家破人离	jprl
家破人亡	jprw
家贫如洗	jprx
借篷使风	jpsf
金瓶素绠	jpsg
酒朋诗侣	jpsl
家破身亡	jpsw
嗟贫叹苦	jptk
矜贫恤独	jpxd
旧瓶新酒	jpxj
借坡下驴	jpxl
锦篇绣帙	jpxz
矜平躁释	jpzs
金魄之石	jpzs
镌脾琢肾	jpzs
九品中正	jpzz
诘屈磝碻	jqaq
佶屈聱牙	jqay
诘屈聱牙	jqay
诘诎聱牙	jqay
鲸呿鳌掷	jqaz
鸡犬不安	jqba
举棋不定	jqbd
捐躯报国	jqbg
绝其本根	jqbg
剪切变换	jqbh
鉴前毖后	jqbh
奸渠必剪	jqbj
鸡犬不惊	jqbj
荆旗蔽空	jqbk
鸡犬不留	jqbl
鸡犬不宁	jqbn
坚强不屈	jqbq
旌旗蔽日	jqbr
旌旗蔽天	jqbt
洁清不洿	jqbw
鸡犬不闻	jqbw
击其不意	jqby
将勤补拙	jqbz
箕裘不坠	jqbz
捐弃成见	jqcj
尽去陈言	jqcy
掎契伺诈	jqcz
夹七带八	jqdb
夹枪带棒	jqdb
见诮大方	jqdf
击其惰归	jqdg
夹枪带棍	jqdg
见钱睹羹	jqdg
揭箧担囊	jqdn
鸡犬登天	jqdt
惊群动众	jqdz
绝裙而去	jqeq
径情而行	jqex
鸡栖凤巢	jqfc
捐躯赴难	jqfn
鸡栖凤食	jqfs
金漆饭桶	jqft
桀犬吠尧	jqfy
近亲繁殖	jqfz
精奇古怪	jqgg
机巧贵速	jqgs
将取固予	jqgy
矫情干誉	jqgy
禁情割欲	jqgy
箕裘弓冶	jqgy
绝情寡义	jqgy
九曲回肠	jqhc
夹七夹八	jqjb
捐躯疆场	jqjc
见墙见羹	jqjg
尽情尽理	jqjl
捐躯济难	jqjn
旌旗卷舒	jqjs
驾轻就熟	jqjs
驾轻就熟	jqju
鸡犬皆仙	jqjx
拘奇抉异	jqjy
极情尽致	jqjz
畸轻畸重	jqjz
饥驱叩门	jqkm
箕裘克绍	jqks
惊起梁尘	jqlc
简切了当	jqld
计穷力尽	jqlj
计穷力极	jqlj
计穷力竭	jqlj
计穷虑尽	jqlj
计穷虑极	jqlj
计穷力屈	jqlq
计穷力诎	jqlq
叫屈连天	jqlt
矜奇立异	jqly
捐躯摩顶	jqmd
金漆马桶	jqmt
精确瞄准	jqmz
济窍飘风	jqpf
捐弃前嫌	jqqx
继其前行	jqqx
举棋若定	jqrd
见钱如命	jqrm
尽其所长	jqsc
计穷势蹙	jqsc
兼权尚计	jqsj
兼权熟计	jqsj
寄情诗酒	jqsj
矫情饰貌	jqsm
鸡犬桑麻	jqsm
计穷势迫	jqsp
九衢三市	jqss
鸡犬升天	jqst
矫情饰行	jqsx
居穷守约	jqsy
掎契司诈	jqsz
掎挈伺诈	jqsz
矫情饰诈	jqsz
骄气十足	jqsz
箕裘堂构	jqtg
击缺唾壶	jqth
精禽填海	jqth
揭箧探囊	jqtn
计穷途拙	jqtz
九泉无恨	jqwh
鸡犬无惊	jqwj
将去温来	jqwl
阶前万里	jqwl
鸡犬无宁	jqwn
交洽无嫌	jqwx
拘牵文义	jqwy
泾清渭浊	jqwz
矜奇炫博	jqxb
卷旗息鼓	jqxg
捐躯殉国	jqxg
经丘寻壑	jqxh
箕裘相继	jqxj
骄漆相投	jqxt
鸡犬相闻	jqxw
剑气箫心	jqxx
见钱眼红	jqyh
鸡群一鹤	jqyh
见钱眼开	jqyk
见弃于人	jqyr
见钱眼热	jqyr
交浅言深	jqys
捐躯殒首	jqys
救黥医劓	jqyy
举前曳踵	jqyz
计穷智短	jqzd
胶漆之分	jqzf
剑气纵横	jqzh
纪群之交	jqzj
计穷智极	jqzj
近取诸己	jqzj
见雀张罗	jqzl
忌前之癖	jqzp
嫁犬逐犬	jqzq
径情直遂	jqzs
洁清自矢	jqzs
矫情自饰	jqzs
矫情镇物	jqzw
九泉之下	jqzx
径情直行	jqzx
极情纵欲	jqzy
急起直追	jqzz
兼容并包	jrbb
坚韧不拔	jrbb
寂然不动	jrbd
佳人薄命	jrbm
迥然不侔	jrbm
坚忍不挠	jrbn
迥然不群	jrbq
截然不同	jrbt
迥然不同	jrbt
兼容并蓄	jrbx
坚忍不懈	jrbx
尽人豰中	jrbz
钜人长德	jrcd
计日程功	jrcg
静如处女	jrcn
济弱锄强	jrcq
假人辞色	jrcs
君辱臣死	jrcs
佳人才子	jrcz
君仁臣直	jrcz
尽锐出战	jrcz
静若处子	jrcz
坚韧祷言	jrdy
计日而待	jred
击壤而歌	jreg
计日而俟	jres
戛然而止	jrez
剑刃风暴	jrfb
急如风火	jrfh
军容风纪	jrfj
瘠人肥己	jrfj
济弱扶倾	jrfq
济弱扶危	jrfw
家人父子	jrfz
贱入贵出	jrgc
进壤广地	jrgd
击壤鼓腹	jrgf
兼弱攻昧	jrgm
尽入彀中	jrgz
噤如寒蝉	jrhc
噤若寒蝉	jrhc
节日火酒	jrhj
举如鸿毛	jrhm
兼人好胜	jrhs
斠若画一	jrhy
讲若画一	jrhy
较如画一	jrhy
较若画一	jrhy
节日酒杯	jrjb
救人救彻	jrjc
渐入佳境	jrjj
金人缄口	jrjk
尽日极虑	jrjl
矫若惊龙	jrjl
觉人觉世	jrjs
尽人皆知	jrjv
交人交心	jrjx
假仁假义	jrjy
尽人皆知	jrjz
见仁见智	jrjz
计日可待	jrkd
计日可期	jrkq
吉日良辰	jrlc
疾如雷电	jrld
积日累久	jrlj
积日累劳	jrll
吉日良时	jrls
积日累岁	jrls
剑刃乱舞	jrlw
济人利物	jrlw
寄人篱下	jrlx
积日累月	jrly
渐仁摩义	jrmy
佳人难得	jrnd
解人难得	jrnd
剑刃扭转	jrnz
坚如磐石	jrps
酒肉朋友	jrpy
拒人千里	jrql
畸人俟天	jrqt
尽日穷夜	jrqy
绝仁弃义	jrqy
皎如日星	jrrx
尽如人意	jrry
皎如日月	jrry
惊肉生髀	jrsb
敬如上宾	jrsb
酒入舌出	jrsc
九儒十丐	jrsg
见肉生根	jrsg
寂若死灰	jrsh
金人三缄	jrsj
敬如神明	jrsm
敬若神明	jrsm
尽如所期	jrsq
蹇人上天	jrst
蹇人升天	jrst
巨儒硕学	jrsx
钜儒宿学	jrsx
景入桑榆	jrsy
荆人涉澭	jrsy
进荣退辱	jrtr
进锐退速	jrts
吉人天相	jrtx
寂若无人	jrwr
寂然无声	jrws
孑然无依	jrwy
节日小道	jrxd
酒肉兄弟	jrxd
急如星火	jrxh
仅容旋马	jrxm
旧荣新辱	jrxr
疾如旋踵	jrxz
加人一等	jryd
计日以待	jryd
斠然一概	jryg
九仞一篑	jryk
矫若游龙	jryl
救人一命	jrym
计日以期	jryq
孑然一身	jrys
计日以俟	jrys
井然有条	jryt
憬然有悟	jryw
井然有序	jryx
寄人檐下	jryx
肌肉玉雪	jryx
居仁由义	jryy
截然有异	jryy
诘戎治兵	jrzb
兼人之材	jrzc
计然之策	jrzc
假仁纵敌	jrzd
计日奏功	jrzg
急人之急	jrzj
节日祝酒	jrzj
金人之缄	jrzj
急人之困	jrzk
兼人之量	jrzl
拘儒之论	jrzl
急人之难	jrzn
计日指期	jrzq
精锐之师	jrzs
计然之术	jrzs
急人之危	jrzw
奸人之雄	jrzx
兼人之勇	jrzy
就日瞻云	jrzy
急人之忧	jrzy
坚忍质直	jrzz
浸润之谮	jrzz
矫揉造作	jrzz
金人之箴	jrzz
济世安邦	jsab
济世安民	jsam
济世爱民	jsam
敬时爱日	jsar
济世安人	jsar
敬上爱下	jsax
江山半壁	jsbb
精神百倍	jsbb
借身报仇	jsbc
兼收博采	jsbc
兼收并畜	jsbc
兼收并采	jsbc
减师半德	jsbd
九死不悔	jsbh
浆水不交	jsbj
经史百家	jsbj
见所不见	jsbj
见死不救	jsbj
僵尸博客	jsbk
缄舌闭口	jsbk
金舌弊口	jsbk
金舌蔽口	jsbk
兼收并录	jsbl
机事不密	jsbm
见势不妙	jsbm
解手背面	jsbm
见善必迁	jsbq
兼收并容	jsbr
矫世变俗	jsbs
酒酸不售	jsbs
谏尸谤屠	jsbt
俱收并蓄	jsbx
兼收并蓄	jsbx
敬事不暇	jsbx
金鼠报喜	jsbx
坚守不渝	jsby
己所不欲	jsby
金石不渝	jsby
经史百子	jsbz
绝世出尘	jscc
积善成德	jscd
积少成多	jscd
聚少成多	jscd
旌善惩恶	jsce
疾首蹙额	jsce
进善惩恶	jsce
进善黜恶	jsce
进食充分	jscf
九十春光	jscg
橛守成规	jscg
君射臣决	jscj
进善惩奸	jscj
精神错乱	jscl
绝世超伦	jscl
疾首攒眉	jscm
疾首蹙眉	jscm
结舌瞠目	jscm
近水齿蛮	jscm
举觞称庆	jscq
酒色财气	jscq
积沙成塔	jsct
积沙成滩	jsct
聚沙成塔	jsct
君圣臣贤	jscx
积水成渊	jscy
进食充足	jscz
鸡声断爱	jsda
疾声大呼	jsdh
结舌杜口	jsdk
绝世独立	jsdl
剑树刀山	jsds
精神抖擞	jsds
经始大业	jsdy
酒食地狱	jsdy
惊师动众	jsdz
